variant,seed,accuracy,macro_f1,macro_recall,correct,sample_count
historical,20260909,0.8933333333333333,0.8923014402355568,0.8933333333333333,268,300
previous,20260909,0.8266666666666667,0.8226733195898559,0.8266666666666665,248,300
refined,20260909,0.91,0.9110226408896619,0.9100000000000001,273,300
historical,20260910,0.9166666666666666,0.9158722187399302,0.9166666666666667,275,300
previous,20260910,0.8533333333333334,0.8506818361509086,0.8533333333333333,256,300
refined,20260910,0.92,0.9197010497349316,0.9200000000000002,276,300
historical,20260911,0.9033333333333333,0.9026098790012492,0.9033333333333335,271,300
previous,20260911,0.8233333333333334,0.8236837943002687,0.8233333333333335,247,300
refined,20260911,0.89,0.8895237378487391,0.89,267,300
