seed,accuracy,macro_f1,macro_recall,correct,sample_count,corrected,regressed
20260909,0.9133333333333333,0.9138798688663886,0.9133333333333334,274,300,11,5
20260910,0.9233333333333333,0.9230118210440977,0.9233333333333335,277,300,6,4
20260911,0.89,0.8895237378487391,0.89,267,300,10,14
