task,variant,split,accuracy,macro_recall,test_evaluated
convsnn38,all38_ideal,final_test,0.9060859957646625,0.8748257215516326,True
convsnn38,all38_hw,final_test,0.8118957738698094,0.7593704355986536,True
rc38,v5,validation,0.7990562780527103,0.7722612422813007,False
rc10,v5,validation,0.9736217356897916,0.9797742075523406,True
rc10,v5,test,0.9702406078514141,0.967980475748619,True
