Time,Id
304.7329E-3,-614.2901E-9
322.6342E-3,-611.4629E-9
340.5383E-3,-609.2011E-9
358.4091E-3,-606.7718E-9
376.3371E-3,-604.5939E-9
394.2327E-3,-602.2693E-9
412.1302E-3,-600.3846E-9
430.0525E-3,-598.2275E-9
447.9442E-3,-596.6568E-9
465.8503E-3,-594.7512E-9
483.7725E-3,-592.8244E-9
501.6605E-3,-590.9397E-9
519.5656E-3,-589.4109E-9
537.4907E-3,-587.7774E-9
555.3863E-3,-586.2487E-9
573.2924E-3,-584.9294E-9
591.2185E-3,-583.3377E-9
609.1093E-3,-582.0603E-9
627.0115E-3,-580.8038E-9
644.9310E-3,-579.5263E-9
662.8227E-3,-578.1232E-9
680.7306E-3,-576.8457E-9
698.6319E-3,-575.6730E-9
716.5208E-3,-574.5002E-9
734.4355E-3,-573.3693E-9
752.3425E-3,-572.4060E-9
770.2171E-3,-571.1914E-9
788.1184E-3,-570.2909E-9
806.0369E-3,-569.2228E-9
823.9182E-3,-568.2386E-9
841.8290E-3,-567.1496E-9
859.7351E-3,-566.3119E-9
877.6039E-3,-565.4114E-9
895.5281E-3,-564.5737E-9
913.4361E-3,-563.4219E-9
931.3145E-3,-562.7099E-9
949.2349E-3,-561.9769E-9
967.1314E-3,-561.2021E-9
985.0013E-3,-560.5319E-9
1.0029E+0,-559.6942E-9
1.0208E+0,-558.6890E-9
1.0387E+0,-558.0607E-9
1.0566E+0,-557.1812E-9
1.0745E+0,-556.5320E-9
1.0924E+0,-555.8409E-9
1.1103E+0,-555.1288E-9
1.1282E+0,-554.2702E-9
1.1461E+0,-553.7885E-9
1.1640E+0,-553.0765E-9
1.1819E+0,-552.2180E-9
1.1998E+0,-551.7363E-9
1.2178E+0,-551.1918E-9
1.2357E+0,-550.5216E-9
1.2536E+0,-549.7468E-9
1.2715E+0,-549.1185E-9
1.2894E+0,-548.7625E-9
1.3073E+0,-548.1971E-9
1.3252E+0,-547.6317E-9
1.3431E+0,-546.7940E-9
1.3610E+0,-546.4798E-9
1.3789E+0,-545.8306E-9
1.3968E+0,-545.3280E-9
1.4147E+0,-544.9092E-9
1.4326E+0,-544.1972E-9
1.4505E+0,-543.7992E-9
1.4684E+0,-543.3594E-9
1.4864E+0,-542.8150E-9
1.5042E+0,-542.3543E-9
1.5222E+0,-541.7888E-9
1.5401E+0,-541.3700E-9
1.5579E+0,-540.8673E-9
1.5759E+0,-540.3647E-9
1.5938E+0,-539.9878E-9
1.6116E+0,-539.4433E-9
1.6296E+0,-539.1082E-9
1.6474E+0,-538.5219E-9
1.6653E+0,-538.1031E-9
1.6833E+0,-537.8099E-9
1.7012E+0,-537.4748E-9
1.7191E+0,-536.8465E-9
1.7370E+0,-536.6161E-9
1.7549E+0,-536.0297E-9
1.7728E+0,-535.8413E-9
1.7907E+0,-535.3805E-9
1.8086E+0,-534.8570E-9
1.8265E+0,-534.5010E-9
1.8444E+0,-534.1868E-9
1.8623E+0,-533.8937E-9
1.8802E+0,-533.3701E-9
1.8981E+0,-532.8885E-9
1.9160E+0,-532.6162E-9
1.9340E+0,-532.1974E-9
1.9519E+0,-531.9042E-9
1.9697E+0,-531.5691E-9
1.9877E+0,-531.1712E-9
2.0056E+0,-530.8361E-9
2.0235E+0,-530.4592E-9
2.0414E+0,-530.2289E-9
2.0593E+0,-529.9775E-9
2.0772E+0,-529.5378E-9
2.0951E+0,-529.1817E-9
2.1130E+0,-528.8258E-9
