phase,split,sample_count,accuracy,macro_recall,best_epoch,executed_epochs
ideal,selection,2938,0.9802586793737236,0.9715792195424635,36,56
ideal,final_test,4894,0.976706170821414,0.9604399472510197,36,56
hw_finetune,selection,2938,0.94213750850919,0.9420393917590518,3,6
hw_finetune,final_test,4894,0.9384961176951369,0.9135499158163141,3,6
