phase,is_best_epoch,epoch,train_loss,train_accuracy,selection_loss,selection_accuracy,selection_macro_recall,duration_seconds,cuda_peak_memory_bytes,loss_spike,loss_membrane,loss_distillation,loss_firing_regularization
ideal,False,1,1.8154732189893021,0.8183620741452863,1.9069306645935453,0.7222600408441117,0.5733545075102435,27.210395250998772,2870386688,1.6543773422016015,0.644382995255446,0.0,0.00012782837594689492
ideal,False,2,1.5896166223592356,0.9313825632398005,1.9050684314426554,0.7852280462899932,0.6998392353679516,26.836045455000203,2870779904,1.5331510063017932,0.22586159412837806,0.0,0.00021976536103164845
ideal,False,3,1.5671599985050022,0.9458631256384066,1.7721391636307666,0.897208985704561,0.8618220402492138,26.047318083999926,2870779904,1.522078495268308,0.18032508892436544,0.0,0.0002428397123167058
ideal,False,4,1.5419994585289016,0.9590218109715797,1.6612532831033613,0.9312457454050375,0.8991515298653265,26.480824853999366,2870779904,1.5094292300083971,0.1302795463455903,0.0,0.00034065202602983507
ideal,False,5,1.5276589646674918,0.9686955476777024,1.7885850646854502,0.869639210347175,0.8484353577570701,26.1898473199999,2870779904,1.5023918883886316,0.10106578209627522,0.0,0.0006364054346062838
ideal,False,6,1.5449901855973922,0.9635282100582827,1.6644699304098982,0.9424778761061947,0.9289800579643316,26.690887459000805,2870779904,1.512041137667292,0.13179511998249638,0.0,0.0002635516152045237
ideal,False,7,1.5148879954901293,0.9786697109896052,1.7344939264819441,0.9070796460176991,0.8882423508023611,27.07179986600022,2870779904,1.4961561533161736,0.07492651328250192,0.0,0.00021431306809614907
ideal,False,8,1.5088185430726258,0.9806525265877546,1.7237477864108985,0.8883594281824371,0.8686851970197645,26.568631759999334,2870779904,1.4928265415489734,0.06396729104121932,0.0,0.00018342064212862924
ideal,False,9,1.5055882265338143,0.9835967073244006,1.7136662179227586,0.899931926480599,0.8912537071649449,27.763954615998955,2870779904,1.4914205916145777,0.05666982511688882,0.0,0.00018277908642182027
ideal,False,10,1.502852635358393,0.9861803761341105,1.7304248921801397,0.8856364874063989,0.867780105141264,27.701926636998905,2870779904,1.4897916200735002,0.052243550838930015,0.0,0.00012415609889798786
ideal,False,11,1.4972386909692983,0.9883434476957279,2.043643208812742,0.7106875425459497,0.650105608995249,27.490040578000844,2870779904,1.4868999406608518,0.04135463325577502,0.0,9.203922505062984e-05
ideal,False,12,1.561964741823572,0.9555368623445293,1.6472237630309177,0.9268209666439755,0.9109549096728651,26.06718710200039,2870779904,1.5236607321837354,0.15321580942811164,0.0,7.463906029447177e-05
ideal,False,13,1.5067441760222298,0.9846782431052093,1.6721701170004006,0.9251191286589516,0.9235947983459347,26.12063175500043,2870779904,1.492537012876946,0.05682821059915686,0.0,0.00010056484237562763
ideal,False,14,1.50038823927852,0.9872018265937631,1.6462788101440389,0.9343090537780804,0.9325645216189946,26.3293412919993,2870779904,1.4890540627585733,0.04533599764945802,0.0,0.00017574421116409096
ideal,False,15,1.4968885957553668,0.9892447275130686,2.0024004531117665,0.7059223961878829,0.7510661649242979,27.26773206100006,2870779904,1.4870109559896152,0.039509874932906204,0.0,0.00018086389152187425
ideal,False,16,1.5237654448271816,0.9755452742894911,1.7222024436870182,0.9193328795098706,0.9168968804856357,27.528484966998803,2870779904,1.502659818956086,0.08442118085034088,0.0,0.0003285667461659543
ideal,False,17,1.4960111837966406,0.9897854954034729,1.6426747170656697,0.9554118447923757,0.9499540908573965,27.822884408999016,2870779904,1.4857992930301414,0.040846444058001405,0.0,0.0002914747416427851
ideal,False,18,1.5106660343739289,0.9829958541128402,1.876808464730005,0.8148400272294077,0.760190246935849,26.09454735899999,2870779904,1.495515390040675,0.06060149476629592,0.0,0.0002775600167634991
ideal,False,19,1.505424303023752,0.9829958541128402,1.6350324847732294,0.960857726344452,0.9619078387813683,25.946934375000637,2870779904,1.491023468518568,0.057602744335526354,0.0,0.0001396845445413603
ideal,False,20,1.4912120096888213,0.9910472871477498,1.6782632938771933,0.9458815520762424,0.9454984465031415,26.267214288000105,2870779904,1.4834109731557987,0.031203779169850863,0.0,9.092505628843023e-05
ideal,False,21,1.4879141542649803,0.9923090788920267,1.7257611140497207,0.908781484002723,0.9358038710533737,26.03399272599927,2870779904,1.481692467086527,0.02488623156414785,0.0,0.00012491791809614302
